#w   DOS(w)
3.01465   33.1082
3.02465   102.875
3.03465   36.9614
3.04465   12.4728
3.05465   8.11322
3.06465   8.03126
3.07465   13.8185
3.08465   60.1205
3.09465   21.7379
3.10465   9.93407
3.11465   10.5481
3.12465   24.0236
3.13465   65.9459
3.14465   34.7067
3.15465   91.3574
3.16465   114.042
3.17465   39.3294
3.18465   14.9414
3.19465   14.8096
3.20465   51.2574
3.21465   26.2608
3.22465   10.8964
3.23465   15.4442
3.24465   65.2484
3.25465   16.4056
3.26465   5.78051
3.27465   3.33259
3.28465   2.36889
3.29465   1.87032
3.30465   1.56799
3.31465   1.36502
3.32465   1.21893
3.33465   1.10834
3.34465   1.02141
3.35465   0.951044
3.36465   0.892738
3.37465   0.843498
3.38465   0.801255
3.39465   0.76453
3.40465   0.732239
3.41465   0.703568
3.42465   0.677893
3.43465   0.65473
3.44465   0.633693
3.45465   0.614475
3.46465   0.596826
3.47465   0.580539
3.48465   0.565447
3.49465   0.551405
3.50465   0.538295
3.51465   0.526015
3.52465   0.514478
3.53465   0.503609
3.54465   0.493343
3.55465   0.483624
3.56465   0.474403
3.57465   0.465637
3.58465   0.457288
3.59465   0.449321
3.60465   0.441706
3.61465   0.434418
3.62465   0.427431
3.63465   0.420725
3.64465   0.41428
3.65465   0.408077
3.66465   0.402102
3.67465   0.39634
3.68465   0.390777
3.69465   0.385402
3.70465   0.380203
3.71465   0.37517
3.72465   0.370294
3.73465   0.365567
3.74465   0.36098
3.75465   0.356527
3.76465   0.3522
3.77465   0.347993
3.78465   0.3439
3.79465   0.339916
3.80465   0.336036
3.81465   0.332255
3.82465   0.328568
3.83465   0.324972
3.84465   0.321462
3.85465   0.318036
3.86465   0.314689
3.87465   0.311418
3.88465   0.30822
3.89465   0.305093
3.90465   0.302034
3.91465   0.299039
3.92465   0.296108
3.93465   0.293237
3.94465   0.290424
3.95465   0.287667
3.96465   0.284965
3.97465   0.282315
3.98465   0.279716
3.99465   0.277166
4.00465   0.274664
4.01465   0.272207
4.02465   0.269795
4.03465   0.267426
4.04465   0.265099
4.05465   0.262813
4.06465   0.260566
4.07465   0.258357
4.08465   0.256185
4.09465   0.254049
4.10465   0.251948
4.11465   0.249882
4.12465   0.247848
4.13465   0.245847
4.14465   0.243877
4.15465   0.241937
4.16465   0.240028
4.17465   0.238147
4.18465   0.236295
4.19465   0.23447
4.20465   0.232672
4.21465   0.230901
4.22465   0.229155
4.23465   0.227434
4.24465   0.225737
